Words,Frequency,Rank
Parsee,28,736
astern,28,737
Sir,28,738
pretty,28,739
person,28,740
fishermen,28,741
dropped,27,742
somewhat,27,743
suspended,27,744
certainly,27,745
landlord,27,746
Fedallah,27,747
overboard,27,748
scene,27,749
hope,27,750
yards,27,751
island,27,752
kind,27,753
thick,27,754
looks,27,755
alongside,27,756
ice,27,757
precisely,27,758
shark,27,759
wholly,27,760
ahead,27,761
bit,27,762
sideways,27,763
eyeing,27,764
lightning,26,765
started,26,766
pole,26,767
bodily,26,768
horse,26,769
yes,26,770
thirty,26,771
From,26,772
blow,26,773
read,26,774
ears,26,775
followed,26,776
hair,26,777
vessels,26,778
seated,26,779
rose,26,780
otherwise,26,781
enormous,26,782
lie,26,783
wooden,26,784
masts,26,785
chest,26,786
getting,26,787
degree,26,788
Upon,26,789
received,26,790
fancy,26,791
whiteness,26,792
yourself,26,793
giving,26,794
year,26,795
duty,25,796
supper,25,797
pilot,25,798
complete,25,799
learned,25,800
fin,25,801
cases,25,802
stop,25,803
interval,25,804
wife,25,805
steady,25,806
added,25,807
friend,25,808
leaning,25,809
bearing,25,810
alive,25,811
hump,25,812
front,25,813
skull,25,814
similar,25,815
woe,25,816
carry,25,817
port,25,818
thinking,25,819
hinted,25,820
cruising,25,821
thrown,25,822
gods,25,823
country,25,824
Thus,25,825
believe,25,826
self,25,827
takes,25,828
silent,25,829
number,25,830
keel,25,831
drawn,25,832
king,25,833
escape,24,834
secret,24,835
beat,24,836
ran,24,837
dart,24,838
hunt,24,839
remains,24,840
Lakeman,24,841
orders,24,842
afterwards,24,843
Dutch,24,844
First,24,845
pursuit,24,846
became,24,847
circle,24,848
swift,24,849
regular,24,850
perils,24,851
thyself,24,852
watery,24,853
midnight,24,854
drop,24,855
grow,24,856
wise,24,857
exactly,24,858
different,24,859
eight,24,860
love,24,861
aside,24,862
bright,24,863
Stand,24,864
floating,24,865
seldom,24,866
spread,24,867
warm,24,868
lances,23,869
shore,23,870
remain,23,871
hot,23,872
master,23,873
headed,23,874
lad,23,875
fiery,23,876
somewhere,23,877
thunder,23,878
commanded,23,879
break,23,880
fore,23,881
hence,23,882
answer,23,883
Good,23,884
war,23,885
Like,23,886
spot,23,887
sweet,23,888
flew,23,889
wall,23,890
strength,23,891
hidden,23,892
striking,23,893
chapter,23,894
hint,23,895
speaking,23,896
regarded,23,897
blows,23,898
higher,23,899
flesh,23,900
following,23,901
during,23,902
beyond,23,903
level,23,904
honour,23,905
sword,23,906
state,23,907
instead,23,908
finally,23,909
souls,22,910
tall,22,911
windward,22,912
gazing,22,913
wonderful,22,914
seventy,22,915
Sea,22,916
scuttle,22,917
rear,22,918
dashed,22,919
game,22,920
Radney,22,921
owing,22,922
yellow,22,923
stove,22,924
descried,22,925
cause,22,926
jolly,22,927
deadly,22,928
lives,22,929
didn,22,930
centre,22,931
formed,22,932
pulling,22,933
shipmates,22,934
jacket,22,935
answered,22,936
empty,22,937
real,22,938
negro,22,939
filled,22,940
drew,22,941
advance,21,942
These,21,943
evinced,21,944
burst,21,945
bag,21,946
talk,21,947
lord,21,948
terrible,21,949
anchor,21,950
quickly,21,951
minutes,21,952
hailed,21,953
magnitude,21,954
tree,21,955
spare,21,956
sitting,21,957
South,21,958
decks,21,959
distant,21,960
laid,21,961
log,21,962
beheld,21,963
lofty,21,964
terror,21,965
passing,21,966
worse,21,967
original,21,968
invested,21,969
prow,21,970
age,21,971
gunwale,21,972
windlass,21,973
loose,21,974
town,20,975
god,20,976
lies,20,977
gentleman,20,978
Gabriel,20,979
died,20,980
dim,20,981
fall,20,982
dat,20,983
sleeping,20,984
everything,20,985
attached,20,986
law,20,987
floor,20,988
swung,20,989
inches,20,990
separate,20,991
ways,20,992
raised,20,993
ribs,20,994
outer,20,995
besides,20,996
breeze,20,997
past,20,998
base,20,999
needs,20,1000
officers,20,1001
former,20,1002
grown,20,1003
rise,20,1004
billows,20,1005
gigantic,20,1006
slightest,20,1007
aboard,20,1008
winds,20,1009
places,20,1010
grey,20,1011
swim,20,1012
profound,20,1013
step,20,1014
spade,20,1015
swam,20,1016
lowered,20,1017
directly,20,1018
England,20,1019
repeated,20,1020
according,20,1021
hollow,20,1022
casks,20,1023
precise,19,1024
noon,19,1025
fight,19,1026
Meantime,19,1027
sake,19,1028
hunted,19,1029
owners,19,1030
truly,19,1031
upwards,19,1032
sink,19,1033
deeper,19,1034
subject,19,1035
swiftly,19,1036
ends,19,1037
Ishmael,19,1038
vicinity,19,1039
eternal,19,1040
ain,19,1041
figure,19,1042
lee,19,1043
Take,19,1044
See,19,1045
largest,19,1046
glass,19,1047
rapidly,19,1048
pitch,19,1049
tis,19,1050
presented,19,1051
stuff,19,1052
inch,19,1053
blacksmith,19,1054
solitary,19,1055
foam,19,1056
beginning,19,1057
ones,19,1058
globe,19,1059
fain,19,1060
ordinary,19,1061
important,19,1062
pointing,19,1063
Atlantic,19,1064
hanging,19,1065
dignity,19,1066
whalers,19,1067
Man,19,1068
Because,19,1069
terrors,19,1070
concluded,19,1071
leaves,19,1072
meet,19,1073
reached,19,1074
chiefly,19,1075
ill,19,1076
hast,19,1077
telling,19,1078
captains,19,1079
leave,18,1080
intense,18,1081
French,18,1082
pieces,18,1083
example,18,1084
longer,18,1085
brave,18,1086
breath,18,1087
sorts,18,1088
bring,18,1089
merely,18,1090
seat,18,1091
quietly,18,1092
smoking,18,1093
children,18,1094
awful,18,1095
prodigious,18,1096
nameless,18,1097
pale,18,1098
flag,18,1099
floated,18,1100
pay,18,1101
Horn,18,1102
forced,18,1103
rush,18,1104
precious,18,1105
evening,18,1106
gives,18,1107
lead,18,1108
follow,18,1109
advancing,18,1110
rate,18,1111
content,18,1112
beef,18,1113
stone,18,1114
met,18,1115
sought,18,1116
child,18,1117
Death,18,1118
Perth,18,1119
box,18,1120
picture,18,1121
Christian,18,1122
revealed,18,1123
mentioned,18,1124
Bedford,18,1125
interest,18,1126
seized,18,1127
dam,18,1128
instance,18,1129
squall,18,1130
chains,18,1131
difference,18,1132
observed,18,1133
regularly,18,1134
cannibal,18,1135
guess,18,1136
period,18,1137
lips,18,1138
inside,18,1139
engaged,18,1140
marked,18,1141
horizon,18,1142
golden,18,1143
modern,18,1144
laugh,17,1145
fail,17,1146
height,17,1147
yard,17,1148
weight,17,1149
fatal,17,1150
tomahawk,17,1151
tackles,17,1152
captured,17,1153
jump,17,1154
minute,17,1155
bold,17,1156
neck,17,1157
thin,17,1158
silence,17,1159
sixty,17,1160
likewise,17,1161
thrust,17,1162
cool,17,1163
doubloon,17,1164
gaze,17,1165
motion,17,1166
crown,17,1167
lowering,17,1168
sing,17,1169
mystic,17,1170
race,17,1171
months,17,1172
drive,17,1173
fro,17,1174
instantly,17,1175
bird,17,1176
affair,17,1177
native,17,1178
After,17,1179
mother,17,1180
compass,17,1181
trying,17,1182
dog,17,1183
row,17,1184
son,17,1185
meaning,17,1186
previously,17,1187
inserted,17,1188
muttered,17,1189
Yojo,17,1190
spine,17,1191
hill,17,1192
opposite,17,1193
thine,17,1194
shape,17,1195
Soon,17,1196
rushing,17,1197
shouted,17,1198
irons,17,1199
plank,17,1200
heavens,17,1201
oarsmen,17,1202
understand,17,1203
trunk,17,1204
grave,17,1205
ring,17,1206
wound,17,1207
solid,17,1208
cross,17,1209
glory,17,1210
elephant,17,1211
bore,17,1212
crossing,16,1213
plenty,16,1214
thinks,16,1215
steward,16,1216
fairly,16,1217
gallant,16,1218
fully,16,1219
distinct,16,1220
cries,16,1221
foolish,16,1222
clock,16,1223
lungs,16,1224
actually,16,1225
crews,16,1226
mariner,16,1227
carries,16,1228
encounter,16,1229
happened,16,1230
missing,16,1231
spouts,16,1232
virtue,16,1233
rare,16,1234
Dough,16,1235
double,16,1236
proved,16,1237
paused,16,1238
Fast,16,1239
whaler,16,1240
Line,16,1241
binnacle,16,1242
scientific,16,1243
barrels,16,1244
devils,16,1245
flame,16,1246
amid,16,1247
hook,16,1248
putting,16,1249
spite,16,1250
beach,16,1251
feels,16,1252
numerous,16,1253
father,16,1254
yonder,16,1255
Hussey,16,1256
uncommon,16,1257
stricken,16,1258
civilized,16,1259
neither,16,1260
piece,16,1261
joy,16,1262
pleasant,16,1263
furnished,16,1264
keen,16,1265
heat,16,1266
Can,16,1267
weary,16,1268
commander,16,1269
roll,16,1270
fit,16,1271
stroke,16,1272
twelve,16,1273
dropping,16,1274
knowing,16,1275
nay,16,1276
animal,16,1277
bread,16,1278
breaking,16,1279
earthly,16,1280
drink,16,1281
starboard,16,1282
spermaceti,16,1283
lifted,16,1284
spray,16,1285
careful,16,1286
books,16,1287
colour,16,1288
madness,16,1289
heave,16,1290
lying,16,1291
corner,16,1292
sent,16,1293
sit,16,1294
originally,16,1295
dragged,16,1296
showed,16,1297
tow,16,1298
hitherto,16,1299
Meanwhile,16,1300
locked,16,1301
hunter,16,1302
thousands,16,1303
respect,16,1304
friends,16,1305
consider,15,1306
pains,15,1307
immense,15,1308
impossible,15,1309
doing,15,1310
seven,15,1311
pagan,15,1312
torn,15,1313
clean,15,1314
employed,15,1315
watching,15,1316
marvellous,15,1317
pots,15,1318
events,15,1319
steak,15,1320
violent,15,1321
rushed,15,1322
rod,15,1323
working,15,1324
carrying,15,1325
endless,15,1326
shake,15,1327
latitudes,15,1328
dinner,15,1329
shadow,15,1330
vapour,15,1331
